"report_date","ticker","rsi_1","rsi_2","rsi_3","rsi_4","rsi_5","rsi_6","rsi_7","rsi_8","rsi_9","rsi_10","rsi_11","rsi_12","rsi_13","rsi_14","rsi_15","rsi_16","rsi_17","rsi_18","rsi_19","rsi_20","sma_10","sma_20","sma_50","sma_200","ema_10","ema_20","ema_50","ema_200","macd_12_26_9_line","macd_12_26_9_signal","macd_12_26_9_histogram","rv_10","rv_20","rv_30","rv_60","hls_10","hls_20","obv"
2012-09-18,AAPL,100.0,100.0,100.0,100.0,100.0,95.05416,67.54949,69.62047,72.19111,67.69578,71.35705,71.80696,64.68707,63.8105,63.243492,67.351364,67.52322,63.962162,67.48268,63.107983,88.42684,87.66436,82.745705,71.68241,88.87711,87.34285,83.71785,72.733665,2.059233,1.929748,0.12948486,21.464499,19.603315,18.799091,20.564934,0.76645356,0.8575341,34280337000
2012-09-19,AAPL,100.0,100.0,100.0,100.0,100.0,100.0,95.07568,67.64998,69.708565,72.26494,67.776215,71.4203,71.86825,64.75624,63.88043,63.313885,67.40691,67.578186,64.01994,67.52973,88.841515,87.96389,82.9968,71.88674,89.327515,87.72489,84.01732,72.918945,2.130312,1.9698608,0.1604511,21.467964,18.661497,18.7509,20.574429,0.7932102,0.8315627,34362055700
2012-09-20,AAPL,0.0,5.292847,40.559288,76.08989,84.90222,90.4788,92.42925,88.20659,64.09822,66.270134,68.987595,64.88522,68.70529,69.17742,62.5635,61.745625,61.216156,65.41538,65.591774,62.23445,89.13337,88.15795,83.24885,72.08671,89.615585,88.02842,84.2877,73.09798,2.1264327,2.0011752,0.12525743,21.93225,18.326818,18.944477,20.64668,0.78490525,0.7080243,34277913600
2012-09-21,AAPL,100.0,29.018526,31.726856,52.17981,78.21896,85.77992,90.83552,92.65654,88.54493,64.852615,66.93686,69.55212,65.48706,69.1842,69.6421,63.074665,62.26122,61.734467,65.828125,66.00035,89.389046,88.401665,83.518845,72.28892,89.88417,88.32026,84.554565,73.27703,2.1135879,2.0236578,0.08993025,13.519609,18.315247,18.939796,20.469944,0.72623765,0.7020505,34420810900
2012-09-24,AAPL,0.0,13.002773,9.865104,11.064473,22.608139,49.016457,61.75851,72.62931,77.15827,74.285774,56.85887,59.118324,62.00094,58.75002,62.75843,63.26111,57.794796,57.111095,56.667572,60.960506,89.75402,88.581024,83.7489,72.486275,89.8839,88.46906,84.76351,73.44226,1.9829079,2.0155077,-0.03259983,16.463705,18.164465,19.40134,20.215761,0.8306281,0.7005783,34260869300
2012-09-25,AAPL,0.0,0.0,4.9749246,4.435203,5.0111237,11.02197,28.961098,40.64606,52.945797,58.888123,57.20003,46.27833,48.5909,51.608196,49.335815,53.53553,54.07159,50.02728,49.514187,49.180466,89.92252,88.5671,83.92905,72.6714,89.47559,88.38994,84.87624,73.58351,1.6788777,1.9481817,-0.26930398,21.933792,20.562574,21.139652,20.887112,0.7763512,0.6887041,34131171900
2012-09-26,AAPL,0.0,0.0,0.0,3.8291795,3.5012376,3.9609072,8.829109,24.168627,34.869076,46.79903,52.825977,51.463535,42.450027,44.730576,47.730724,45.78052,49.976128,50.515297,46.96803,46.515488,89.86253,88.50452,84.08736,72.84917,88.94375,88.214745,84.9419,73.71254,1.334771,1.8254997,-0.49072856,19.675287,21.047781,21.559303,21.012077,0.6263306,0.6880102,33987046100
2012-09-27,AAPL,100.0,65.87748,38.65868,31.616081,33.428688,31.393261,31.625927,34.129982,42.529243,48.892735,56.539974,60.647133,59.336693,50.375435,52.080414,54.35208,52.402573,55.66676,56.090755,52.56788,89.840935,88.55559,84.28944,73.03858,88.89043,88.25625,85.08733,73.861176,1.2174878,1.7038972,-0.4864094,23.221651,22.153776,22.449366,21.265575,0.82221794,0.84032226,34135568600
2012-09-28,AAPL,0.0,53.16213,41.6839,28.836895,24.72808,26.297647,25.02142,25.224224,27.424713,35.051937,41.09667,48.686142,52.91745,51.91701,44.924683,46.61849,48.895008,47.31161,50.595776,51.0256,89.52632,88.5766,84.43362,73.22072,88.5104,88.117584,85.15451,73.98992,0.964127,1.5559433,-0.59181625,23.656921,23.608904,22.927517,21.723331,0.77818596,0.83525306,34001790900
2012-10-01,AAPL,0.0,0.0,42.39562,34.76201,25.345486,22.115665,23.57134,22.540827,22.729622,24.78462,32.001354,37.8264,45.276157,49.49697,48.620613,42.43514,44.110256,46.37069,44.944183,48.21439,89.00078,88.53854,84.5837,73.40341,88.01707,87.89658,85.1797,74.10741,0.6746106,1.3796767,-0.7050661,23.295704,23.298513,21.8991,21.759933,0.74777704,0.7964803,33865892200
2012-10-02,AAPL,100.0,19.93756,8.050274,45.161304,37.352623,27.530483,24.112156,25.49482,24.407068,24.586885,26.545534,33.44381,39.034504,46.214275,50.297016,49.420353,43.21872,44.849186,47.051422,45.621788,88.47251,88.44968,84.74,73.58817,87.65885,87.72042,85.213715,74.226204,0.46002248,1.1957458,-0.7357234,23.592812,23.232458,21.525047,21.648005,0.83278143,0.79961747,34022890300
